Product,Price,Brand,Core,RAM,ScrSize,GraphicCard,Drive_Type,Capacity,OperSystem,Weight,Madein,Since,Shop,URL
Laptop Asus Zenbook Duo UX482EA-KA268T i7 1165G7/16GB/1TB SSD/14.0'' FHD Touch/Win10 (No.00781233),39999000,Asus,Intel Core i7-1165G7 4.70 GHz,16,14,Intel Iris Xe Graphics,SDD,1000,Window,1.6,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-duo-ux482ea-ka268t-i7-1165g7
"Laptop Dell Gaming G5 5500 i7 10750H/16GB/512GB/RTX 2070 8GB/15""6FHD/Win 10 (No.00768693)",37999000,Dell,Intel Core i7-10750H 5.00 GHz,16,15.6,NVIDIA GeForce RTX 2070 8 GB & Intel UHD Graphics 630,SDD,512,Window,2.4,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-gaming-g5-5500-i7-10750h-rtx-2070
"Laptop Dell Gaming G7 15 7500 i7 10750H/8GB/512GB/15.6""FHD/GTX1660Ti 6GB/Win 10 (No.00761228)",38999000,Dell,Intel Core i7-10750H 5.00 GHz,8,15.6,NVIDIA GeForce GTX 1660Ti 6 GB & Intel UHD Graphics,SDD,512,Window,2.6,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-gaming-g7-15-7500-i7-10750h
Laptop Acer Nitro Gaming AN515-45-R9SC R7 5800H/8GB/512GB SSD/RTX 3070 8GB/Win10 (No.00779869),39999000,Acer,AMD Ryzen 7-5800H 4.4 GHz,8,15.6,NVIDIA GeForce RTX 3070 8GB,SDD,512,Window,2.2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-45-r9sc-r7-5800h
"MacBook Pro 13"" 2020 Touch Bar M1 256GB (No.00725100)",34999000,Macbook,Apple M1 3.2GHz,8,13.3,M1 8-Core GPU,SDD,256,Mac OS,1.4,Trung Quốc,2020,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/macbook-pro-13-2020-touch-bar-m1-256gb
Laptop Dell Gaming G15 5511 i7 11800H/8GB/512GB/15.6FHD/NV-RTX3050 4GB_Win+Office HS (No.00783550),33999000,Dell,Intel Core i7-11800H 4.60 GHz,8,15.6,NVIDIA GeForce RTX 3050 4GB & Intel UHD Graphics,SDD,512,Window,2.8,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-gaming-g15-5511-i7-11800h
Laptop Asus Zenbook Duo UX482EA-KA274T i5 1135G7/8GB/512GB SSD/14.0'' FHD Touch /Win10 (No.00781232),32999000,Asus,Intel Core i5-1135G7 4.2GHz,8,14,Intel Iris Xe Graphics,SDD,512,Window,1.6,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-duo-ux482ea-ka274t-i5-1135g7
Laptop Asus Zenbook Duo UX482EA-KA081T i5 1135G7/8GB/512GB SSD/14'' FHD Touch/Win10 (No.00773274),32999000,Asus,Intel Core i5-1135G7 4.2GHz,8,14,Intel Iris Xe Graphics,SDD,512,Window,1.6,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-duo-ux482ea-ka081t-i5-1135g7
Laptop Acer Nitro Gaming AN515 57 5831 i5 11400H/8GB/512GB SSD/RTX 3060 6GB/Win10 (No.00762457),32999000,Acer,Intel Core i5-11400H 4.50 GHz,8,15.6,NVIDIA GeForce RTX 3060 6GB & Intel UHD Graphics,SDD,512,Window,2.2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-5831-i5-11400h
"Laptop Microsoft Surface Pro 7 i5 1035G4/8GB/256GB SSD/12.3"" Touch/Bàn phím/Win 10 (No.00734881)",31999000,Microsoft,Intel Core i5-1035G4 3.7GHz,8,12.3,Intel Iris Plus Graphics,SDD,256,Window,0.8,Trung Quốc,2019,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/microsoft-surface-pro-7-core-i5-1035g4-type-cover?dung-luong=256gb
