id,brand,cpu,cpu_GHz,cpu_brand,ram,scrsize,gpu,gpu_brand,memory,drive_type,opersystem,weight,since,shop,price,url
205,MSI,AMD Ryzen 7,3.2,AMD,8,15.6,AMD Radeon,AMD,1000,SDD,Window,2.4,2021,Dienmayxanh,24740000,https://www.dienmayxanh.com/laptop/msi-gaming-bravo-15-b5dd-r7-278vn?src=osp
206,LENOVO,Intel i7,2.6,Intel,8,15.6,NVIDIA GeForce GTX,NVIDIA,512,SDD,Window,2.2,2020,Dienmayxanh,24640000,https://www.dienmayxanh.com/laptop/lenovo-ideapad-gaming-3-15imh05-i7-81y4013uvn?src=osp
207,MSI,AMD Ryzen 7,3.2,AMD,8,15.6,AMD Radeon,AMD,1000,SDD,Window,2.4,2021,Dienmayxanh,24240000,https://www.dienmayxanh.com/laptop/msi-gaming-bravo-15-b5dd-r7-083vn?src=osp
208,ACER,Intel i5,3.1,Intel,16,15.6,NVIDIA GeForce GTX,NVIDIA,1000,SDD,Window,2.2,2021,Dienmayxanh,23990000,https://www.dienmayxanh.com/laptop/acer-nitro-5-gaming-an515-56-5256-i5-nhqbzsv005?src=osp
209,LENOVO,Intel i7,2.8,Intel,8,14.0,Intel Iris,Intel,512,SDD,Window,1.3,2020,Dienmayxanh,23740000,https://www.dienmayxanh.com/laptop/lenovo-thinkbook-14s-g2-itl-i7-20va000mvn?src=osp
210,LENOVO,Intel i5,2.4,Intel,8,14.0,Intel Iris,Intel,1000,SDD,Window,1.5,2021,Dienmayxanh,23550000,https://www.dienmayxanh.com/laptop/lenovo-thinkbook-14s-yoga-itl-i5-20we004cvn?src=osp
211,DELL,Intel i5,2.4,Intel,8,15.6,Intel Iris,Intel,1000,SDD,Window,1.8,2021,Dienmayxanh,23450000,https://www.dienmayxanh.com/laptop/dell-latitude-3520-i5-70251593?src=osp
212,DELL,Intel i5,3.2,Intel,8,14.0,Intel Iris,Intel,1000,SDD,Window,1.4,2021,Dienmayxanh,23260000,https://www.dienmayxanh.com/laptop/dell-inspiron-14-5410-i5-p143g001asl?src=osp
213,DELL,AMD Ryzen 7,1.8,AMD,8,15.6,AMD Radeon,AMD,1000,SDD,Window,1.8,2021,Dienmayxanh,23070000,https://www.dienmayxanh.com/laptop/dell-inspiron-15-5515-r7-n5r75700u104w?src=osp
214,ASUS,Intel i5,2.4,Intel,8,13.3,Intel Iris,Intel,1000,SDD,Window,1.1,2021,Dienmayxanh,22570000,https://www.dienmayxanh.com/laptop/asus-zenbook-ux325ea-i5-kg363t?src=osp
215,LENOVO,Intel i5,2.4,Intel,8,14.0,Intel Iris,Intel,512,SDD,Window,1.3,2020,Dienmayxanh,22500000,https://www.dienmayxanh.com/laptop/lenovo-thinkbook-14s-g2-itl-i5-20va000nvn?src=osp
216,LENOVO,Intel i5,2.4,Intel,8,14.0,Intel Iris,Intel,512,SDD,Window,1.4,2021,Dienmayxanh,22390000,https://www.dienmayxanh.com/laptop/lenovo-yoga-slim-7-14itl05-i5-82a300dpvn?src=osp
217,ASUS,Intel i5,2.4,Intel,8,14.0,Intel Iris,Intel,512,SDD,Window,1.2,2020,Dienmayxanh,22290000,https://www.dienmayxanh.com/laptop/asus-zenbook-ux425ea-i5-ki429t?src=osp
218,MSI,Intel i7,2.6,Intel,8,15.6,NVIDIA GeForce GTX,NVIDIA,1000,SDD,Window,1.9,2021,Dienmayxanh,21990000,https://www.dienmayxanh.com/laptop/msi-gaming-gf63-thin-10sc-i7-480vn?src=osp
219,MSI,Intel i5,2.5,Intel,8,14.0,NVIDIA GeForce MX,NVIDIA,1000,SDD,Window,1.3,2021,Dienmayxanh,21990000,https://www.dienmayxanh.com/laptop/msi-gaming-modern-14-b11sbu-i5-669vn?src=osp
